title,year,month,month_num,filename,path,ext
January 2025 minutes,2025,January,1,JanuaryMinutes2025.docx,/community/cat-minutes/JanuaryMinutes2025.docx,DOCX
February 2025 minutes,2025,February,2,FebruaryMinutes2025.docx,/community/cat-minutes/FebruaryMinutes2025.docx,DOCX
March 2025 minutes,2025,March,3,MarchMinutes2025.docx,/community/cat-minutes/MarchMinutes2025.docx,DOCX
April 2025 minutes,2025,April,4,AprilMinutes2025.docx,/community/cat-minutes/AprilMinutes2025.docx,DOCX
June 2025 minutes,2025,June,6,JuneMinutes2025.docx,/community/cat-minutes/JuneMinutes2025.docx,DOCX
August 2025 minutes,2025,August,8,August2025Minutes.docx,/community/cat-minutes/August2025Minutes.docx,DOCX
September 2025 minutes,2025,September,9,SeptemberMinutes2025.docx,/community/cat-minutes/SeptemberMinutes2025.docx,DOCX
October 2025 minutes,2025,October,10,October2025Minutes.docx,/community/cat-minutes/October2025Minutes.docx,DOCX
January 2024 minutes,2024,January,1,JanuaryMinutes2024.docx,/community/cat-minutes/JanuaryMinutes2024.docx,DOCX
April 2024 minutes,2024,April,4,AprilMinutes2024.docx,/community/cat-minutes/AprilMinutes2024.docx,DOCX
May 2024 minutes,2024,May,5,MayMinutes2024.docx,/community/cat-minutes/MayMinutes2024.docx,DOCX
June 2024 minutes,2024,June,6,JuneMinutes2024.docx,/community/cat-minutes/JuneMinutes2024.docx,DOCX
September 2024 minutes,2024,September,9,SeptemberMinutes2024.docx,/community/cat-minutes/SeptemberMinutes2024.docx,DOCX
October 2024 minutes,2024,October,10,OctoberMinutes2024.docx,/community/cat-minutes/OctoberMinutes2024.docx,DOCX
February 2023 minutes,2023,February,2,FebruaryMinutes2023.docx,/community/cat-minutes/FebruaryMinutes2023.docx,DOCX
April 2023 minutes,2023,April,4,AprilMinutes2023.docx,/community/cat-minutes/AprilMinutes2023.docx,DOCX
September 2023 minutes,2023,September,9,SeptemberMinutes2023.docx,/community/cat-minutes/SeptemberMinutes2023.docx,DOCX
October 2023 minutes,2023,October,10,OctoberMinutes2023.docx,/community/cat-minutes/OctoberMinutes2023.docx,DOCX
January 2022 minutes,2022,January,1,JanuaryMinutes2022.docx,/community/cat-minutes/JanuaryMinutes2022.docx,DOCX
February 2022 minutes,2022,February,2,FebruaryMinutes2022.docx,/community/cat-minutes/FebruaryMinutes2022.docx,DOCX
April 2022 minutes,2022,April,4,AprilMinutes2022.docx,/community/cat-minutes/AprilMinutes2022.docx,DOCX
June 2022 minutes,2022,June,6,JuneMinutes2022.docx,/community/cat-minutes/JuneMinutes2022.docx,DOCX
July 2022 minutes,2022,July,7,JulyMinutes2022.docx,/community/cat-minutes/JulyMinutes2022.docx,DOCX
September 2022 minutes,2022,September,9,SeptemberMinutes2022.docx,/community/cat-minutes/SeptemberMinutes2022.docx,DOCX
October 2022 minutes,2022,October,10,OctoberMinutes2022.docx,/community/cat-minutes/OctoberMinutes2022.docx,DOCX
January 2021 minutes,2021,January,1,JanuaryMinutes2021.docx,/community/cat-minutes/JanuaryMinutes2021.docx,DOCX
February 2021 minutes,2021,February,2,FebruaryMinutes2021.docx,/community/cat-minutes/FebruaryMinutes2021.docx,DOCX
April 2021 minutes,2021,April,4,AprilMinutes2021.docx,/community/cat-minutes/AprilMinutes2021.docx,DOCX
May 2021 minutes,2021,May,5,MayMinutes2021.docx,/community/cat-minutes/MayMinutes2021.docx,DOCX
June 2021 minutes,2021,June,6,JuneMinutes2021.docx,/community/cat-minutes/JuneMinutes2021.docx,DOCX
September 2021 minutes,2021,September,9,SeptemberMinutes2021.docx,/community/cat-minutes/SeptemberMinutes2021.docx,DOCX
October 2021 minutes,2021,October,10,OctoberMinutes2021.docx,/community/cat-minutes/OctoberMinutes2021.docx,DOCX
January 2020 minutes,2020,January,1,JanuaryMinutes2020.docx,/community/cat-minutes/JanuaryMinutes2020.docx,DOCX
February 2020 minutes,2020,February,2,FebruaryMinutes2020.docx,/community/cat-minutes/FebruaryMinutes2020.docx,DOCX
July 2020 minutes,2020,July,7,JulyMinutes2020.docx,/community/cat-minutes/JulyMinutes2020.docx,DOCX
September 2020 minutes,2020,September,9,SeptemberMinutes2020.docx,/community/cat-minutes/SeptemberMinutes2020.docx,DOCX
October 2020 minutes,2020,October,10,OctoberMinutes2020.docx,/community/cat-minutes/OctoberMinutes2020.docx,DOCX
January 2019 minutes,2019,January,1,JanuaryMinutes2019.docx,/community/cat-minutes/JanuaryMinutes2019.docx,DOCX
April 2019 minutes,2019,April,4,AprilMinutes2019.docx,/community/cat-minutes/AprilMinutes2019.docx,DOCX
May 2019 minutes,2019,May,5,MayMinutes2019.docx,/community/cat-minutes/MayMinutes2019.docx,DOCX
June 2019 minutes,2019,June,6,JuneMinutes2019.docx,/community/cat-minutes/JuneMinutes2019.docx,DOCX
August 2019 minutes,2019,August,8,AugustMinutes2019.docx,/community/cat-minutes/AugustMinutes2019.docx,DOCX
September 2019 minutes,2019,September,9,SeptemberMinutes2019.docx,/community/cat-minutes/SeptemberMinutes2019.docx,DOCX
October 2019 minutes,2019,October,10,OctoberMinutes2019.docx,/community/cat-minutes/OctoberMinutes2019.docx,DOCX
January 2018 minutes,2018,January,1,JanuaryMinutes2018.docx,/community/cat-minutes/JanuaryMinutes2018.docx,DOCX
February 2018 minutes,2018,February,2,FebruaryMinutes2018.doc,/community/cat-minutes/FebruaryMinutes2018.doc,DOC
April 2018 minutes,2018,April,4,AprilMinutes2018.docx,/community/cat-minutes/AprilMinutes2018.docx,DOCX
May 2018 minutes,2018,May,5,MayMinutes2018.docx,/community/cat-minutes/MayMinutes2018.docx,DOCX
June 2018 minutes,2018,June,6,JuneMinutes2018.docx,/community/cat-minutes/JuneMinutes2018.docx,DOCX
July 2018 minutes,2018,July,7,JulyMinutes2018.docx,/community/cat-minutes/JulyMinutes2018.docx,DOCX
September 2018 minutes,2018,September,9,SeptemberMinutes2018.docx,/community/cat-minutes/SeptemberMinutes2018.docx,DOCX
October 2018 minutes,2018,October,10,OctoberMinutes2018.docx,/community/cat-minutes/OctoberMinutes2018.docx,DOCX
February 2017 minutes,2017,February,2,FebruaryMinutes2017.docx,/community/cat-minutes/FebruaryMinutes2017.docx,DOCX
April 2017 minutes,2017,April,4,AprilMinutes2017.docx,/community/cat-minutes/AprilMinutes2017.docx,DOCX
May 2017 minutes,2017,May,5,MayMinutes2017.docx,/community/cat-minutes/MayMinutes2017.docx,DOCX
June 2017 minutes,2017,June,6,JuneMinutes2017.docx,/community/cat-minutes/JuneMinutes2017.docx,DOCX
September 2017 minutes,2017,September,9,SeptemberMinutes2017.docx,/community/cat-minutes/SeptemberMinutes2017.docx,DOCX
October 2017 minutes,2017,October,10,OctoberMinutes2017.docx,/community/cat-minutes/OctoberMinutes2017.docx,DOCX
